"video_id","author_unique_id","author_nickname","signature","is_brand_representative","brand_name","brand_confidence","analysis_details"
"7516841473250200846","leahbrooke14","Leah Brooke","Creator: Leah Brooke","False","","0.9","The bio ""Creator: Leah Brooke"" indicates a personal content creator rather than a representative of a specific brand. No brand-related keywords, company emails, or product promotion language were found."
"7293986289827761450","notabilityapp","Notability","Creator: Notability","True","Notability","1.0","The username ""notabilityapp"", display name ""Notability"", and bio ""Creator: Notability"" all explicitly identify this as the official brand account for the Notability app/company."
"7522200958357507358","uluvaves","ava-marie ౨ৎ","Creator: ava-marie ౨ৎ","False","","0.9","The bio explicitly states ""Creator: ava-marie"", indicating a personal content creator account. There are no company emails, business keywords, product promotion language, or brand partnership mentions to suggest brand representation."
"7517017637176626463","chabivoyages","Binal Shah","Creator: Binal Shah","True","chabivoyages","0.8","The username ""chabivoyages"" strongly suggests a specific travel-related brand or venture. While Binal Shah is the named creator, the unique, non-personal username indicates a distinct entity or business being represented."
"7509968928882363678","imaaduddinn","Imaad Uddin","Creator: Imaad Uddin","False","","0.9","The username, display name, and bio are all personal names (""Imaad Uddin"") with no brand-related keywords, company emails, product promotion language, or partnership mentions. The bio ""Creator: Imaad Uddin"" indicates a personal content creator rather than a brand representative."
"7466493808717466923","kmac5959","Kmac","Creator: Kmac","False","","0.9","Username, display name, and bio ""Creator: Kmac"" all indicate a personal content creator. No company names, product promotions, business keywords, or brand affiliations are present in the provided information."
"7247451639991389445","essayninja","essayninjacom","Creator: essayninjacom","True","essaynincacom","1.0","The display name and bio explicitly state ""essaynincacom"", which is a web domain, strongly indicating an official brand or business account."
"7496195546521111838","thewordovertheworld24","WordOverWorld","Creator: WordOverWorld","False","","0.9","The bio ""Creator: WordOverWorld"" identifies the creator by their display name/username, suggesting a personal creator identity or brand. There are no indicators like company emails, official brand accounts, business-related keywords, product promotion language, or brand partnership mentions to suggest representation of an external commercial brand."
"7313897795755248904","adamstewartmarketing","Adam Stewart | Marketing & AI","Creator: Adam Stewart | Marketing & AI","False","","0.0","Analysis failed"
"7390445344913509675","lemon8_us","lemon8unitedstates","Creator: lemon8unitedstates","True","Lemon8","1.0","The username ""lemon8_us"", display name ""lemon8unitedstates"", and bio ""Creator: lemon8unitedstates"" all explicitly name and identify the account as representing the Lemon8 brand, specifically its US presence."
"7467512482719010094","whererv","Where RV USA","Creator: Where RV USA","True","Where RV USA","0.95","The display name ""Where RV USA"" and the bio ""Creator: Where RV USA"" explicitly state that ""Where RV USA"" is the entity or brand creating the content, indicating they represent this specific brand."
"7489457058643856662","studyerik","Study tips and motivation 📄","Creator: Study tips and motivation 📄","False","","0.9","The profile uses a personal-sounding username and describes general content themes (""Study tips and motivation""). There are no indicators of a specific company email, official brand account, product promotion, or brand partnerships. It appears to be a personal content creator."
"7494747625346878751","graceandgoods1","Grace + Goods","Creator: Grace + Goods","True","Grace + Goods","0.9","The username, display name, and bio consistently use ""Grace + Goods,"" strongly indicating that this is the brand's official presence or a creator directly operating as the brand, likely selling or promoting ""goods."""
"7494099936045419822","bibleberrycreative","Alexis Waid","Creator: Alexis Waid","False","","0.9","The display name ""Alexis Waid"" is a personal name, and the bio ""Creator: Alexis Waid"" explicitly states it's a personal creator account. The username ""bibleberrycreative"" also suggests a personal or niche creative endeavor rather than representing a specific brand or company. There are no indicators of company emails, brand names, product promotion, or partnerships."
"7364402849683492142","officialpwankumar","officialpwnkumar","Creator: officialpwnkumar","False","","0.9","The username, display name, and bio all refer to ""officialpwankumar,"" which appears to be a personal name. While ""official"" is used, it likely signifies the individual's primary account rather than a corporate entity. There are no other indicators such as company emails, business keywords, product promotion language, or company descriptions to suggest a brand."
"7422751576240016672","plrdigitalplanner","✨ Mar | PLR Digital Products","Creator: ✨ Mar | PLR Digital Products","True","PLR Digital Products","0.95","The username, display name, and bio consistently indicate that the creator sells ""PLR Digital Products,"" which functions as the name of their specific business or personal brand offering. This is product-focused and implies commercial activity."
"7516385136238153003","badgenote.com","BADGE NOTE","Creator: BADGE NOTE","True","BADGE NOTE","0.95","The username is a domain name (badgenote.com), the display name is ""BADGE NOTE,"" and the bio explicitly states ""Creator: BADGE NOTE."" These all strongly indicate this is the official account for the brand BADGE NOTE."
"7520406922042936606","donations4mom","Donations4mom","Creator: Donations4mom","False","","0.9","The username, display name, and bio all refer to ""Donations4mom"" as the creator or the name of their personal endeavor. There are no indicators of a commercial brand, product, service, or company affiliation. It appears to be a personal fundraising effort rather than representing a brand."
"7503933105619668254","vvaishnavi04","vvaishnavi04","Creator: vvaishnavi04","False","","0.9","The username, display name, and bio all identify the creator by their personal handle, ""vvaishnavi04"". There are no company emails, business keywords, product promotion language, or brand partnership mentions present in the provided profile information."
"7439459193440111918","alexacrossno","lexa","Creator: lexa","False","","0.9","The username, display name, and bio (""Creator: lexa"") strongly suggest a personal account for a content creator, with no indicators such as company names, product promotions, or business keywords to suggest brand representation."
"7511762665946058027","charlotterush3","Char 💋","Creator: Char 💋","False","","0.95","The profile uses a personal name, a generic ""Creator"" label in the bio, and lacks any specific company emails, business-related keywords, product promotion language, or brand partnership mentions typically associated with brand representation."
"7482440602668240174","royaldevi_","Royal Devi 💋💋","Creator: Royal Devi 💋💋","False","","0.95","The username, display name, and bio all identify the creator as ""Royal Devi"" and explicitly state ""Creator: Royal Devi."" There are no company emails, business keywords, product promotion language, brand names, or partnership mentions to indicate representation of a specific brand or company."
"7489860614060297518","honestlymarried","Melissa","Creator: Melissa","False","","0.9","The username ""honestlymarried"" and bio ""Creator: Melissa"" strongly suggest a personal content creator, not a representative of a specific brand or company. No brand-related keywords, contact information, or promotional language are present in the provided profile."
